Homework Log:

What is an LLM?

LADY GREY:
The moment shows, yet time will twist its shade.

POLIXENES:
I see now, the trial in silence speaks loud.

KING EDWARD IV:
Forsooth, what hope dost thou seek? The sun’s rays falter,
And yet a beggar’s plea must fall from grace.

wandb: 
wandb: Run history:
wandb:                      Loss/iter ▁▁▁▁▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇▇███
wandb:                     Loss/lossf █▆▆▆▆▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:                       Loss/mfu ████████████████████████▇██████████████▁
wandb:                     Loss/train ████▅▅▅▅▄▄▄▄▃▃▃▃▃▃▃▃▂▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁
wandb:                       Loss/val ████▃▃▃▃▃▃▃▃▁▁▁▁▁▁▁▁▁▁▁▁▃▃▃▃▄▄▄▄▅▅▅▅▅▅▅▅
wandb:                  Timing/dt_avg ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█
wandb:                 Timing/dt_iter ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█
wandb:                  Timing/dt_tot ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█
wandb:                 Timing/dtb_avg ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█
wandb:                 Timing/dtb_tot ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█
wandb:                 Timing/dtf_avg ▂▁▂▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁█▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▂
wandb:                 Timing/dtf_tot ▂▁▂▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁█▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▂
wandb:                    Timing/iter ▁▁▁▁▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇▇███
wandb:         Timing/samples_per_sec ███████████████████████████████████████▁
wandb: Timing/samples_per_sec_per_gpu ███████████████████████████████████████▁
wandb:            Timing/startup_time ▁
wandb:          Timing/tokens_per_sec ███████████████████████████████████████▁
wandb:  Timing/tokens_per_sec_per_gpu ███████████████████████████████████████▁
wandb:                  Training/iter ▁▁▁▁▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇▇███
wandb:                  Training/loss █▆▆▆▆▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:              Training/loss_tot █▆▆▆▆▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:                    Training/lr ▁▃▅▆████████████████████████████████████
wandb: 
wandb: Run summary:
wandb:                      Loss/iter 1000
wandb:                     Loss/lossf 0.07456
wandb:                       Loss/mfu 42.95878
wandb:                     Loss/train 0.08586
wandb:                       Loss/val 3.36483
wandb:                  Timing/dt_avg 0.34587
wandb:                 Timing/dt_iter 0.61265
wandb:                  Timing/dt_tot 0.34675
wandb:                 Timing/dtb_avg 0.34049
wandb:                 Timing/dtb_tot 0.34049
wandb:                 Timing/dtf_avg 0.00626
wandb:                 Timing/dtf_tot 0.00626
wandb:                    Timing/iter 999
wandb:         Timing/samples_per_sec 3.26452
wandb: Timing/samples_per_sec_per_gpu 1.63226
wandb:            Timing/startup_time 6.42763
wandb:          Timing/tokens_per_sec 213942.8451
wandb:  Timing/tokens_per_sec_per_gpu 106973.63418
wandb:                  Training/iter 999
wandb:                  Training/loss 0.07234
wandb:              Training/loss_tot 0.07234
wandb:                    Training/lr 0.0006
wandb: 
